date,county,county_fips,party,voters
1976-05-17,Marshall,46091,republican,1572
1976-05-17,Meade,46093,democratic,3114
1976-05-17,Meade,46093,other,465
1976-05-17,Meade,46093,republican,3723
1976-05-17,Mellette,46095,democratic,572
1976-05-17,Mellette,46095,other,87
1976-05-17,Mellette,46095,republican,688
1976-05-17,Miner,46097,democratic,1497
1976-05-17,Miner,46097,other,203
1976-05-17,Miner,46097,republican,998
1976-05-17,Minnehaha,46099,democratic,28975
1976-05-17,Minnehaha,46099,other,5647
1976-05-17,Minnehaha,46099,republican,28322
1976-05-17,Moody,46101,democratic,2208
1976-05-17,Moody,46101,other,782
1976-05-17,Moody,46101,republican,1681
1976-05-17,Pennington,46103,democratic,14099
1976-05-17,Pennington,46103,other,3618
1976-05-17,Pennington,46103,republican,15779
1976-05-17,Perkins,46105,democratic,1274
1976-05-17,Perkins,46105,other,164
